GeneID,pdb,chain,complex,Log2FC,color
4535,5LDW,chain H,CI,-0.31085202444977,#607ea6
4536,5LDW,chain N,CI,-0.304907272105903,#6280a7
4537,5LDW,chain A,CI,0.5,#700020
4538,5LDW,chain M,CI,-0.0722274985941695,#dae1ea
4539,5LDW,chain K,CI,,#3E3E3E
4540,5LDW,chain L,CI,0.380301434147919,#923c54
4541,5LDW,chain J,CI,,#3E3E3E
4694,5LDW,chain a,CI,-0.0232214757993313,#f4f6f9
4695,5LDW,chain S,CI,-0.480228322097612,#0a3876
4696,5LDW,chain b,CI,-0.0082684435080268,#fafbfc
4698,5LDW,chain V,CI,0.0495036623637776,#f1e6e9
4700,5LDW,chain W,CI,-0.262749517569573,#7891b3
4701,5LDW,chain r,CI,0.361309109699947,#97465d
4702,5LDW,chain X,CI,-0.065661750835754,#dee4ec
4704,5LDW,chain P,CI,-0.0988103576743366,#ccd6e2
4705,5LDW,chain O,CI,-0.0659271666129119,#dee4ec
4707,5LDW,chain f,CI,-0.0264626639046851,#f2f4f8
4708,5LDW,chain j,CI,0.118708557887602,#ddc2ca
4709,5LDW,chain k,CI,-0.343056003650171,#50719d
4710,5LDW,chain m,CI,0.5,#700020
4711,5LDW,chain h,CI,-0.5,#003070
4712,5LDW,chain i,CI,0.163102219035343,#d0acb6
4713,5LDW,chain o,CI,-0.0919859593859563,#d0d9e5
4714,5LDW,chain l,CI,-0.5,#003070
4715,5LDW,chain n,CI,0.379153999112715,#923c54
4716,5LDW,chain p,CI,0.123275411780008,#dcc0c8
4717,5LDW,chain c,CI,0.246590163848508,#b88090
4718,5LDW,chain d,CI,-0.446619893655918,#1a457f
4719,5LDW,chain G,CI,0.381260119721901,#923c54
4720,5LDW,chain D,CI,-0.0774691201206824,#d8dfe9
4722,5LDW,chain C,CI,0.196930430162529,#c69aa7
4723,5LDW,chain F,CI,-0.425344133400676,#264f85
4724,5LDW,chain Q,CI,-0.5,#003070
4725,5LDW,chain e,CI,-0.244176345465189,#829ab9
4726,5LDW,chain R,CI,0.148069845048565,#d5b4bd
4728,5LDW,chain I,CI,0.389366605858187,#8f3851
4729,5LDW,chain E,CI,0.0885367191209544,#e6d2d8
4731,5LDW,chain s,CI,-0.481581057929898,#083674
51079,5LDW,chain Z,CI,-0.330211086436801,#5676a0
54539,5LDW,chain g,CI,-0.0308715540934635,#f0f3f7
55967,5LDW,chain q,CI,0.5,#700020
126328,5LDW,chain Y,CI,-0.404471124011365,#30578b
4706,5LDW,chain T,CI,-0.0353984322692978,#ecf0f4
4706,5LDW,chain U,CI,-0.0353984322692978,#ecf0f4
374291,5LDW,chain B,CI,0.0413949187529053,#f3eaed
6389,1ZOY,chain A,CII,0.0070275051229289,#fdfcfc
6390,1ZOY,chain B,CII,-0.185235695437962,#a0b2ca
6391,1ZOY,chain C,CII,0.0232411596769544,#f9f4f5
6392,1ZOY,chain D,CII,-0.5,#003070
7384,1BGY,chain A,CIII,-0.0375429252002747,#ecf0f4
7384,1BGY,chain M,CIII,-0.0375429252002747,#ecf0f4
7385,1BGY,chain B,CIII,-0.262276512297752,#7891b3
7385,1BGY,chain N,CIII,-0.262276512297752,#7891b3
4519,1BGY,chain C,CIII,-0.428900103556921,#244d84
4519,1BGY,chain O,CIII,-0.428900103556921,#244d84
1537,1BGY,chain D,CIII,-0.36596367374614,#446796
1537,1BGY,chain P,CIII,-0.36596367374614,#446796
7386,1BGY,chain E,CIII,0.107839789029039,#e0c8cf
7386,1BGY,chain Q,CIII,0.107839789029039,#e0c8cf
7381,1BGY,chain F,CIII,-0.0308648199731118,#f0f3f7
7381,1BGY,chain R,CIII,-0.0308648199731118,#f0f3f7
27089,1BGY,chain G,CIII,-0.114140963748208,#c4cfde
27089,1BGY,chain S,CIII,-0.114140963748208,#c4cfde
7388,1BGY,chain H,CIII,0.220936815957272,#c08e9c
7388,1BGY,chain T,CIII,0.220936815957272,#c08e9c
7386,1BGY,chain I,CIII,0.107839789029039,#e0c8cf
7386,1BGY,chain U,CIII,0.107839789029039,#e0c8cf
29796,1BGY,chain J,CIII,-0.0654758149953727,#dee4ec
29796,1BGY,chain V,CIII,-0.0654758149953727,#dee4ec
10975,1BGY,chain K,CIII,-0.135360993878705,#bac7d8
10975,1BGY,chain W,CIII,-0.135360993878705,#bac7d8
4512,5B1A,chain A,CIV,0.487903141767416,#730625
4513,5B1A,chain B,CIV,-0.172344153355663,#a6b7cd
4514,5B1A,chain C,CIV,-0.176851053967286,#a4b5cc
1327,5B1A,chain D,CIV,0.0360761943073582,#f4ecee
9377,5B1A,chain E,CIV,0.0582402366243931,#efe2e6
1329,5B1A,chain F,CIV,-0.257349579674153,#7c95b6
1339,5B1A,chain G,CIV,,#3E3E3E
1340,5B1A,chain H,CIV,0.0491256754367447,#f1e6e9
1345,5B1A,chain I,CIV,0.5,#700020
1346,5B1A,chain J,CIV,,#3E3E3E
1349,5B1A,chain K,CIV,,#3E3E3E
1350,5B1A,chain L,CIV,0.5,#700020
281091,5B1A,chain M,CIV,,#3E3E3E
4512,5B1A,chain N,CIV,0.487903141767416,#730625
4513,5B1A,chain O,CIV,-0.172344153355663,#a6b7cd
4514,5B1A,chain P,CIV,-0.176851053967286,#a4b5cc
1327,5B1A,chain Q,CIV,0.0360761943073582,#f4ecee
9377,5B1A,chain R,CIV,0.0582402366243931,#efe2e6
1329,5B1A,chain S,CIV,-0.257349579674153,#7c95b6
1339,5B1A,chain T,CIV,,#3E3E3E
1340,5B1A,chain U,CIV,0.0491256754367447,#f1e6e9
1345,5B1A,chain V,CIV,0.5,#700020
1346,5B1A,chain W,CIV,,#3E3E3E
1349,5B1A,chain X,CIV,,#3E3E3E
1350,5B1A,chain Y,CIV,0.5,#700020
281091,5B1A,chain Z,CIV,,#3E3E3E
515,8H9S,chain K,CV,0.0128332790916266,#fbf8f9
522,8H9S,chain L,CV,0.0713355952386314,#eadadf
10476,8H9S,chain M,CV,-0.0232608632935299,#f4f6f9
498,8H9S,chain A,CV,-0.0905829479423569,#d0d9e5
498,8H9S,chain B,CV,-0.0905829479423569,#d0d9e5
498,8H9S,chain C,CV,-0.0905829479423569,#d0d9e5
506,8H9S,chain E,CV,-0.0057144510714814,#fcfdfd
506,8H9S,chain F,CV,-0.0057144510714814,#fcfdfd
506,8H9S,chain D,CV,-0.0057144510714814,#fcfdfd
509,8H9S,chain G,CV,0.211178908672593,#c292a0
93974,8H9S,chain J,CV,0.315798144133076,#a55e72
539,8H9S,chain O,CV,-0.180123327171926,#a2b4cb
516,8H9S,chain 1,CV,,#3E3E3E
516,8H9S,chain 2,CV,,#3E3E3E
516,8H9S,chain 3,CV,,#3E3E3E
516,8H9S,chain 4,CV,,#3E3E3E
516,8H9S,chain 5,CV,,#3E3E3E
516,8H9S,chain 6,CV,,#3E3E3E
516,8H9S,chain 7,CV,,#3E3E3E
516,8H9S,chain 8,CV,,#3E3E3E
513,8H9S,chain H,CV,0.0237293781903289,#f8f2f4
514,8H9S,chain I,CV,0.0009046965818491,#fefefe
4508,8H9S,chain N,CV,0.5,#700020
9556,8H9S,chain P,CV,-0.5,#003070
4509,8H9S,chain Q,CV,0.102155190831117,#e1cad1
9551,8H9S,chain R,CV,0.0025644318840371,#fefefe
10632,8H9S,chain S,CV,-0.236940123003184,#869dbb
521,8H9S,chain T,CV,0.0843335995843328,#e7d4d9
